Player,Team,Age,Games Played,RushingAtt,RushingYDs,Y/A,RushingTD,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL,FantasyPoints,FantasyPoints/GM,Usage/GM,RushingAtt/Gm,TD/Usage
Ronald Jones,TAM,22,16,172,724,4.21,6,40,31,309,9.97,0,2,166.3,10.39,13.25,10.75,0.02830188679245283
Adrian Peterson,WAS,34,15,211,898,4.26,5,23,17,142,8.35,0,2,147.0,9.8,15.6,14.066666666666666,0.021367521367521368
James White,NWE,27,15,67,263,3.93,1,95,72,645,8.96,5,1,196.8,13.12,10.8,4.466666666666667,0.037037037037037035
Latavius Murray,NOR,29,16,146,637,4.36,5,43,34,235,6.91,1,0,157.2,9.82,11.81,9.125,0.031746031746031744
Devin Singletary,BUF,22,12,151,775,5.13,2,41,29,194,6.69,2,1,147.9,12.33,16.0,12.583333333333334,0.020833333333333332
Tevin Coleman,SFO,26,14,137,544,3.97,6,30,21,180,8.57,1,0,135.4,9.67,11.93,9.785714285714286,0.041916167664670656
James Conner,PIT,24,10,116,464,4.0,4,38,34,251,7.38,3,1,145.5,14.55,15.4,11.6,0.045454545454545456
Damien Williams,KAN,27,11,111,498,4.49,5,37,30,213,7.1,2,1,141.10000000000002,12.83,13.45,10.090909090909092,0.0472972972972973
Duke Johnson,HOU,26,16,83,410,4.94,2,62,44,410,9.32,3,1,154.0,9.62,9.06,5.1875,0.034482758620689655
Jamaal Williams,GNB,24,14,107,460,4.3,1,45,39,253,6.49,5,0,146.3,10.45,10.86,7.642857142857143,0.039473684210526314
David Johnson,ARI,28,13,94,345,3.67,2,47,36,370,10.28,4,1,141.5,10.88,10.85,7.230769230769231,0.0425531914893617
Peyton Barber,TAM,25,16,154,470,3.05,6,24,16,115,7.19,1,1,114.5,7.16,11.12,9.625,0.03932584269662921
Jordan Howard,PHI,25,10,119,525,4.41,6,14,10,69,6.9,1,0,111.4,11.14,13.3,11.9,0.05263157894736842
Royce Freeman,DEN,23,16,132,496,3.76,3,50,43,256,5.95,1,0,142.2,8.89,11.38,8.25,0.02197802197802198
LeSean McCoy,KAN,31,13,101,465,4.6,4,34,28,181,6.46,1,2,118.6,9.12,10.38,7.769230769230769,0.037037037037037035
Gus Edwards,BAL,24,16,133,711,5.35,2,8,7,45,6.43,0,1,92.60000000000001,5.79,8.81,8.3125,0.014184397163120567
DeAndre Washington,OAK,26,16,108,387,3.58,3,40,36,292,8.11,0,0,121.9,7.62,9.25,6.75,0.02027027027027027
Tarik Cohen,CHI,24,16,64,213,3.33,0,104,79,456,5.77,3,0,163.9,10.24,10.5,4.0,0.017857142857142856
Matt Breida,SFO,24,13,123,623,5.07,1,22,19,120,6.32,1,1,103.30000000000001,7.95,11.15,9.461538461538462,0.013793103448275862
